Year,Word,Count,Category
1984,rai,4,politics
1984,guerra,2,sentiment
1984,pubblicita,2,business
1984,impero,2,business
1984,espande,1,verb
1984,attività,1,other
1984,finanziaria,1,politics
1984,rizzoli,1,business
1984,scende,1,verb
1984,pista,1,other
1984,divorzio,1,event
1984,affare,1,business
1984,miliardi,1,politics
1984,ndrangheta,1,politics
1984,voleva,1,verb
1984,rapire,1,verb
1984,fininvest,1,business
1984,aumenta,1,verb
1984,capitale,1,business
1984,firmato,1,verb
1984,trattato,1,verb
1984,pace,1,sentiment
1984,mondadori,1,business
1984,venti,1,other
1984,aprono,1,verb
1984,racconta,1,verb
1984,savoia,1,person
1984,vuol,1,verb
1984,entrare,1,verb
1984,forze,1,sentiment
1985,pubblicita,3,business
1985,rai,3,politics
1985,francia,3,location
1985,legge,2,politics
1985,tv,2,other
1985,decreto,2,politics
1985,europa,2,location
1985,solo,2,sentiment
1985,piace,1,verb
1985,critica,1,verb
1985,raccogliere,1,verb
1985,respinto,1,verb
1985,ricorso,1,verb
1985,tribune,1,politics
1985,politiche,1,politics
1985,meter,1,other
1985,convincerli,1,verb
1985,dc,1,politics
1985,blocca,1,verb
1985,camera,1,politics
1985,costituzionale,1,politics
1985,terzo,1,other
1985,fellini,1,person
1985,ferma,1,verb
1985,spot,1,business
1985,serve,1,verb
1985,satellite,1,business
1985,inglesi,1,location
1985,caso,1,sentiment
1985,bettega,1,person
1986,milan,8,business
1986,tv,8,other
1986,rai,6,politics
1986,presidente,4,politics
1986,europea,4,location
1986,cinq,4,business
1986,accordo,4,sentiment
1986,francese,3,location
1986,miliardi,3,politics
1986,milano,3,location
1986,agnelli,2,person
1986,diretta,2,other
1986,magistrato,2,legal
1986,diffida,2,verb
1986,rivera,2,person
1986,parigi,2,location
1986,subito,2,other
1986,francia,2,location
1986,madrid,2,location
1986,chirac,2,person
1986,chiede,2,verb
1986,pci,2,politics
1986,parla,2,verb
1986,pronto,2,sentiment
1986,craxi,2,person
1986,spot,2,business
1986,tanzi,2,person
1986,frena,1,verb
1986,supervalutato,1,verb
1986,sara,1,person
1987,tv,15,other
1987,rai,8,politics
1987,cinq,6,business
1987,diretta,5,other
1987,germania,4,location
1987,insieme,3,sentiment
1987,solo,3,sentiment
1987,giornale,3,business
1987,guerra,3,sentiment
1987,rete,3,business
1987,critica,2,verb
1987,firmato,2,verb
1987,batte,2,verb
1987,reti,2,business
1987,chiama,2,verb
1987,nuovo,2,other
1987,pci,2,politics
