Year,Word,Count,Category
1986,magistrato,2,legal
1993,processo,2,legal
1993,tangenti,2,legal
1994,giudici,9,legal
1994,pool,6,legal
1995,pool,8,legal
1995,giudici,4,legal
1996,processo,12,legal
1996,pool,4,legal
1996,indagato,3,legal
1997,processo,4,legal
1997,pool,4,legal
1998,pool,15,legal
1998,giudici,5,legal
1998,tangenti,5,legal
1999,pool,4,legal
2002,processo,14,legal
2002,giudici,11,legal
2003,processo,15,legal
2003,giudici,11,legal
2006,processo,11,legal
2006,pm,11,legal
2008,intercettazioni,27,legal
2009,giudici,21,legal
2009,pm,18,legal
2009,escort,18,legal
2010,pm,24,legal
2011,pm,89,legal
2011,processo,41,legal
2011,giudici,30,legal
2012,processo,30,legal
2012,pm,30,legal
2013,giunta,55,legal
2013,processo,46,legal
2013,sentenza,43,legal
2014,servizi,45,legal
2014,processo,40,legal
2014,sociali,38,legal
2014,giudici,28,legal
2015,processo,26,legal
2015,escort,20,legal
2016,escort,14,legal
2016,processo,12,legal
2017,processo,12,legal
2019,processo,14,legal
2019,escort,8,legal
2019,giudici,7,legal
2021,processo,18,legal
