Year,Word,Count,Category
1985,francia,3,location
1985,europa,2,location
1985,inglesi,1,location
1986,europea,4,location
1986,francese,3,location
1986,milano,3,location
1986,parigi,2,location
1986,francia,2,location
1986,madrid,2,location
1987,germania,4,location
1988,europea,2,location
1989,parigi,4,location
1989,spagna,2,location
1990,spagna,1,location
1990,spagnola,1,location
1991,hollywood,2,location
1992,segrate,2,location
1992,stranieri,2,location
1992,inglese,2,location
1993,milano,2,location
1994,roma,6,location
1997,europa,3,location
1998,milano,4,location
2000,europa,7,location
2001,genova,10,location
2001,roma,10,location
2002,ue,16,location
2002,roma,10,location
2003,iraq,18,location
2003,ue,15,location
2003,europa,13,location
2004,ue,23,location
2004,iraq,18,location
2005,ue,11,location
2006,usa,19,location
2011,milano,38,location
2015,milano,20,location
2016,roma,60,location
2016,milano,30,location
2016,cinesi,20,location
2016,napoli,14,location
2017,milano,25,location
2017,sicilia,25,location
2017,arcore,12,location
2018,monza,19,location
2018,milano,12,location
2019,bari,6,location
2020,monza,13,location
2021,milano,17,location
2021,roma,11,location
2022,monza,43,location
2022,milano,17,location
2022,ucraina,17,location
2022,arcore,16,location
2023,milano,22,location
2023,arcore,17,location
