Year,Word,Count,Category
1984,savoia,1,person
1985,fellini,1,person
1985,bettega,1,person
1986,agnelli,2,person
1986,rivera,2,person
1986,chirac,2,person
1986,craxi,2,person
1986,tanzi,2,person
1986,sara,1,person
1987,agnes,2,person
1987,enrica,2,person
1987,tanzi,1,person
1988,agnes,3,person
1988,costanzo,3,person
1988,agnelli,3,person
1988,gianni,2,person
1988,pippo,1,person
1989,hersant,4,person
1989,cecchi,3,person
1989,gori,3,person
1989,bouygues,2,person
1989,parretti,2,person
1990,cuccia,5,person
1990,benedetti,2,person
1990,craxi,1,person
1990,roy,1,person
1991,benedetti,2,person
1991,mammi,2,person
1991,sara,2,person
1991,zeffirelli,2,person
1991,sacchi,2,person
1992,leonardo,2,person
1992,paolo,2,person
1993,paolo,3,person
1993,cecchi,2,person
1993,gori,2,person
1993,craxi,2,person
1994,bossi,16,person
1994,paolo,11,person
1994,fini,10,person
1994,sara,9,person
1994,scalfaro,9,person
1994,pietro,8,person
1994,craxi,6,person
1995,fini,12,person
1995,prodi,10,person
1995,dini,9,person
1995,alema,7,person
1995,scalfaro,5,person
1995,paolo,5,person
1995,rocco,5,person
1995,biagi,4,person
1995,pietro,3,person
1995,bossi,3,person
1996,fini,16,person
1996,alema,11,person
1996,massimo,7,person
1996,tabarez,6,person
1996,prodi,5,person
1996,utri,5,person
1996,pietro,4,person
1996,bossi,4,person
1996,letta,3,person
1996,craxi,3,person
1996,dotti,3,person
1997,fini,18,person
1997,alema,11,person
1997,paolo,8,person
1997,prodi,7,person
1997,pietro,5,person
1997,cossiga,4,person
1997,ferrara,3,person
1998,fini,11,person
1998,cossiga,9,person
1998,alema,8,person
1998,prodi,7,person
1998,bossi,5,person
1998,craxi,5,person
1998,veltroni,5,person
1998,capello,4,person
1998,paolo,4,person
1999,fini,10,person
1999,craxi,7,person
1999,alema,6,person
1999,bonino,6,person
1999,cossiga,5,person
1999,ciampi,5,person
1999,veltroni,5,person
2000,bossi,13,person
2000,fini,12,person
2000,rutelli,11,person
2000,pietro,9,person
2000,alema,9,person
2000,amato,9,person
2000,veltroni,7,person
2000,ciampi,7,person
2000,storace,6,person
2000,mastella,6,person
2001,bossi,22,person
2001,rutelli,20,person
2001,bush,20,person
2001,ciampi,18,person
2001,paolo,10,person
2001,amato,9,person
2002,ciampi,31,person
2002,bossi,17,person
2002,casini,13,person
2002,bush,11,person
2002,fini,10,person
2002,cofferati,10,person
2003,bossi,22,person
2003,bush,17,person
2003,fini,13,person
2003,prodi,12,person
2003,ciampi,11,person
2003,putin,10,person
2004,fini,34,person
2004,bossi,33,person
2004,prodi,29,person
2004,bush,16,person
2004,follini,16,person
2004,ciampi,15,person
2005,casini,26,person
2005,prodi,25,person
2005,follini,24,person
2005,fazio,16,person
2005,fini,12,person
2005,formigoni,10,person
2005,bossi,10,person
2005,ciampi,10,person
2005,moratti,10,person
2006,prodi,113,person
2006,casini,34,person
2006,fini,24,person
2006,ciampi,16,person
2006,bossi,13,person
2007,prodi,43,person
2007,fini,41,person
2007,casini,31,person
2007,veltroni,20,person
2007,bossi,11,person
2008,veltroni,92,person
2008,walter,37,person
2008,bossi,30,person
2008,pietro,26,person
2008,napolitano,22,person
2008,casini,20,person
2009,fini,60,person
2009,obama,28,person
2009,napolitano,27,person
2009,bossi,25,person
2009,noemi,19,person
2010,fini,170,person
2010,bossi,63,person
2010,bersani,57,person
2010,napolitano,33,person
2010,casini,32,person
2010,putin,24,person
2011,bossi,92,person
2011,bersani,58,person
2011,ruby,55,person
2011,tremonti,53,person
2011,napolitano,52,person
2011,fini,44,person
2011,alfano,37,person
2011,monti,36,person
2011,tarantini,30,person
2012,monti,131,person
2012,alfano,68,person
2012,ruby,59,person
2012,bersani,35,person
2012,casini,27,person
2012,bossi,26,person
2012,mills,20,person
2012,grillo,20,person
2013,letta,109,person
2013,monti,108,person
2013,alfano,99,person
2013,bersani,92,person
