Year,Word,Frequency,Category
1984,finanziaria,1,politics
1984,trattato,1,politics
1985,decreto,2,politics
1985,politiche,1,politics
1985,dc,1,politics
1985,camera,1,politics
1985,costituzionale,1,politics
1986,accordo,4,politics
1986,pci,2,politics
1986,pronto,2,politics
1987,pci,2,politics
1988,piano,2,politics
1988,decreto,2,politics
1989,dc,2,politics
1989,governo,2,politics
1989,pci,2,politics
1990,accordo,3,politics
1990,summit,2,politics
1990,nuova,1,politics
1991,concessioni,2,politics
1991,accordo,2,politics
1992,accordo,2,politics
1993,lega,3,politics
1993,consiglio,2,politics
1993,politici,2,politics
1994,governo,12,politics
1994,premier,9,politics
1994,lega,7,politics
1994,ultima,5,politics
1995,voto,6,politics
1995,pds,5,politics
1995,ppi,4,politics
1995,elezioni,4,politics
1995,addio,3,politics
1996,accordo,5,politics
1996,costituente,5,politics
1996,riforme,5,politics
1996,governo,4,politics
1996,pds,4,politics
1997,pds,8,politics
1997,bicamerale,4,politics
1997,consiglio,4,politics
1998,riforme,13,politics
1998,ppe,9,politics
1998,lega,7,politics
1998,veltroni,5,politics
1998,voti,4,politics
1998,apre,4,politics
1998,quirinale,4,politics
1998,governo,4,politics
1999,riforme,7,politics
1999,premier,6,politics
1999,accordo,6,politics
1999,governo,5,politics
1999,quirinale,5,politics
1999,veltroni,5,politics
1999,ppi,4,politics
1999,ds,4,politics
2000,governo,9,politics
2000,sinistra,8,politics
2000,veltroni,7,politics
2000,porta,7,politics
2000,elezioni,6,politics
2000,comunisti,5,politics
2001,governo,23,politics
2001,sinistra,9,politics
2001,quirinale,9,politics
2001,premier,8,politics
2002,governo,22,politics
2002,fiat,16,politics
2002,sindacati,15,politics
2002,alleati,11,politics
2002,tasse,11,politics
2002,sme,10,politics
2002,finanziaria,10,politics
2003,sme,25,politics
2003,riforme,12,politics
2003,pensioni,11,politics
2003,governo,10,politics
2003,sinistra,9,politics
2003,cena,9,politics
2004,tasse,57,politics
2004,alleati,29,politics
2004,governo,22,politics
2004,premier,21,politics
2004,lega,20,politics
2004,udc,19,politics
2004,tagli,17,politics
2004,ulivo,15,politics
2005,governo,23,politics
2005,lega,20,politics
2005,voto,16,politics
2005,udc,13,politics
2005,premier,11,politics
2005,sinistra,10,politics
2005,cdl,9,politics
2006,cdl,35,politics
2006,sinistra,21,politics
2006,governo,20,politics
2006,usa,19,politics
2006,politica,15,politics
2006,voto,15,politics
2006,quirinale,15,politics
2006,ds,14,politics
2006,tasse,11,politics
2007,cdl,22,politics
2007,governo,21,politics
2007,veltroni,20,politics
2007,riforme,16,politics
2007,premier,12,politics
2007,alleati,12,politics
2007,politica,10,politics
2007,sinistra,9,politics
2007,voto,8,politics
2008,veltroni,92,politics
2008,pd,72,politics
2008,governo,45,politics
2008,alitalia,40,politics
2008,pdl,32,politics
2008,riforme,26,politics
2008,rifiuti,25,politics
2008,lega,24,politics
2008,napolitano,22,politics
2008,voto,19,politics
2008,premier,19,politics
2009,pdl,61,politics
2009,pd,56,politics
2009,premier,37,politics
2009,governo,27,politics
2009,napolitano,27,politics
2009,piano,21,politics
2009,lega,19,politics
2009,estera,19,politics
2009,escort,18,politics
2010,pdl,132,politics
2010,governo,77,politics
2010,pd,49,politics
2010,voto,45,politics
2010,premier,40,politics
2010,finiani,39,politics
2010,riforme,36,politics
2010,napolitano,33,politics
2010,fli,30,politics
2010,elezioni,28,politics
2010,udc,25,politics
2010,camera,24,politics
2011,pdl,85,politics
2011,governo,76,politics
2011,premier,72,politics
2011,lega,54,politics
2011,napolitano,52,politics
2011,pd,51,politics
2011,voto,47,politics
2011,colle,37,politics
2011,quirinale,36,politics
2011,manovra,34,politics
2012,pdl,159,politics
2012,lega,39,politics
2012,primarie,38,politics
2012,governo,37,politics
2012,premier,36,politics
2012,pd,33,politics
2012,soldi,26,politics
2012,politica,23,politics
2012,addio,20,politics
2013,pdl,228,politics
2013,governo,167,politics
2013,pd,161,politics
2013,voto,99,politics
2013,rnews,98,politics
2013,napolitano,68,politics
2013,imu,54,politics
2013,colle,50,politics
2013,elezioni,43,politics
2013,sentenza,43,politics
2014,riforme,79,politics
2014,rnews,67,politics
2014,fi,63,politics
2014,pd,56,politics
2014,italicum,48,politics
2014,governo,47,politics
2014,servizi,45,politics
2014,premier,39,politics
2014,sociali,38,politics
2014,colle,28,politics
2014,politica,26,politics
2015,pd,42,politics
2015,fi,36,politics
2015,riforme,33,politics
2015,lega,30,politics
2015,quirinale,23,politics
2015,centrodestra,22,politics
2015,premier,22,politics
2015,sinistra,21,politics
2015,escort,20,politics
2015,fuori,18,politics
2015,primarie,16,politics
2016,fi,24,politics
2016,centrodestra,21,politics
2016,comunali,17,politics
2016,elezioni,15,politics
2016,escort,14,politics
2016,politica,13,politics
2016,porta,12,politics
2017,pd,36,politics
2017,centrodestra,33,politics
2017,elezioni,23,politics
2017,voto,19,politics
2017,premier,18,politics
2017,lega,16,politics
2017,governo,16,politics
2017,sinistra,13,politics
2017,alleanza,12,politics
2017,fi,12,politics
2018,governo,94,politics
2018,elezioni,56,politics
2018,lega,56,politics
2018,centrodestra,48,politics
2018,pd,34,politics
2018,premier,30,politics
2018,fi,23,politics
2018,voto,21,politics
2018,consultazioni,17,politics
2018,accordo,13,politics
2018,politica,11,politics
2019,lega,23,politics
2019,governo,21,politics
2019,centrodestra,20,politics
2019,fi,17,politics
2019,bene,9,politics
2019,escort,8,politics
2019,voto,7,politics
2019,voti,6,politics
2020,covid,21,politics
2020,coronavirus,20,politics
2020,fi,16,politics
2020,governo,16,politics
2020,mes,13,politics
2020,centrodestra,9,politics
2020,destra,9,politics
2020,pd,8,politics
2020,lega,8,politics
2020,apre,7,politics
2020,nuova,6,politics
2021,quirinale,62,politics
2021,centrodestra,58,politics
2021,colle,39,politics
2021,governo,32,politics
2021,lega,20,politics
2021,fi,16,politics
2021,voto,14,politics
2021,bene,10,politics
2021,destra,10,politics
2021,pd,9,politics
2022,quirinale,79,politics
2022,governo,70,politics
2022,centrodestra,46,politics
2022,fi,28,politics
