Year,Word,Count,Category
1984,guerra,2,sentiment
1984,pace,1,sentiment
1984,forze,1,sentiment
1985,solo,2,sentiment
1985,caso,1,sentiment
1986,accordo,4,sentiment
1986,pronto,2,sentiment
1987,insieme,3,sentiment
1987,solo,3,sentiment
1987,guerra,3,sentiment
1987,star,2,sentiment
1987,scelto,2,sentiment
1987,crisi,2,sentiment
1987,gioco,1,sentiment
1988,guerra,2,sentiment
1988,super,2,sentiment
1988,ricchi,2,sentiment
1989,felice,2,sentiment
1989,alleato,2,sentiment
1990,accordo,3,sentiment
1990,partner,1,sentiment
1990,febbre,1,sentiment
1990,nuova,1,sentiment
1991,pace,2,sentiment
1991,accordo,2,sentiment
1991,alibi,1,sentiment
1991,ultimatum,1,sentiment
1992,re,4,sentiment
1992,esame,2,sentiment
1992,accordo,2,sentiment
1992,fronte,2,sentiment
1992,mercato,2,sentiment
1992,regole,2,sentiment
1992,vetrina,2,sentiment
1992,guerra,2,sentiment
1993,solo,3,sentiment
1993,guai,2,sentiment
1993,affari,2,sentiment
1993,grande,2,sentiment
1993,grazie,2,sentiment
1993,uomo,2,sentiment
1994,solo,11,sentiment
1994,caro,5,sentiment
1994,basta,5,sentiment
1994,avviso,5,sentiment
1995,patto,6,sentiment
1995,solo,4,sentiment
1995,leader,4,sentiment
1995,addio,3,sentiment
1995,guerra,3,sentiment
1996,accordo,5,sentiment
1996,guerra,3,sentiment
1996,solo,3,sentiment
1997,solo,6,sentiment
1997,pace,5,sentiment
1997,amico,3,sentiment
1997,grande,3,sentiment
1998,dialogo,7,sentiment
1998,lite,5,sentiment
1999,accordo,6,sentiment
1999,giudizio,4,sentiment
1999,rilancio,4,sentiment
1999,solo,4,sentiment
1999,basta,3,sentiment
2000,solo,18,sentiment
2000,patto,7,sentiment
2000,guerra,5,sentiment
2001,solo,17,sentiment
2001,guerra,13,sentiment
2001,conflitto,9,sentiment
2001,caso,9,sentiment
2001,grande,8,sentiment
2002,solo,18,sentiment
2002,caso,12,sentiment
2003,pace,13,sentiment
2003,caso,12,sentiment
2003,solo,11,sentiment
2003,basta,10,sentiment
2003,crisi,9,sentiment
2004,solo,30,sentiment
2004,patto,18,sentiment
2004,crisi,18,sentiment
2004,avanti,15,sentiment
2005,solo,14,sentiment
2005,scontro,13,sentiment
2006,scontro,27,sentiment
2006,duello,19,sentiment
2006,solo,16,sentiment
2006,caso,15,sentiment
2006,crisi,11,sentiment
2006,leader,11,sentiment
2007,solo,14,sentiment
2007,leader,9,sentiment
2007,dialogo,9,sentiment
2007,interessi,8,sentiment
2007,vita,8,sentiment
2008,scontro,37,sentiment
2008,duello,36,sentiment
2008,dialogo,35,sentiment
2008,solo,29,sentiment
2008,crisi,19,sentiment
2009,solo,28,sentiment
2009,crisi,18,sentiment
2009,caso,17,sentiment
2010,solo,56,sentiment
2010,scontro,37,sentiment
2010,avanti,33,sentiment
2010,crisi,29,sentiment
2010,basta,26,sentiment
2011,solo,59,sentiment
2011,donne,37,sentiment
2011,caso,35,sentiment
2011,crisi,32,sentiment
2012,ritorno,36,sentiment
2012,solo,28,sentiment
2012,caso,26,sentiment
2012,basta,22,sentiment
2012,addio,20,sentiment
2013,decadenza,149,sentiment
2013,crisi,79,sentiment
2013,solo,58,sentiment
2013,caso,42,sentiment
2014,patto,47,sentiment
2014,solo,36,sentiment
2015,solo,26,sentiment
2015,patto,22,sentiment
2016,solo,28,sentiment
2016,leader,15,sentiment
2017,solo,15,sentiment
2017,patto,15,sentiment
2017,basta,15,sentiment
2018,solo,18,sentiment
2018,patto,13,sentiment
2018,accordo,13,sentiment
2019,ritorno,10,sentiment
2019,futuro,9,sentiment
2019,bene,9,sentiment
2019,corsa,8,sentiment
2019,solo,8,sentiment
2019,leader,8,sentiment
2020,positivo,12,sentiment
2020,solo,9,sentiment
2020,nuova,6,sentiment
2021,crisi,13,sentiment
2021,bene,10,sentiment
2022,leader,26,sentiment
2022,ritorno,23,sentiment
2022,guerra,18,sentiment
2022,caso,17,sentiment
2022,solo,17,sentiment
2023,leader,14,sentiment
