Year,Word,Frequency,Category
1984,espande,1,verb
1984,scende,1,verb
1984,voleva,1,verb
1984,rapire,1,verb
1984,aumenta,1,verb
1984,firmato,1,verb
1984,aprono,1,verb
1984,racconta,1,verb
1984,vuol,1,verb
1985,piace,1,verb
1985,critica,1,verb
1985,raccogliere,1,verb
1985,respinto,1,verb
1985,convincerli,1,verb
1985,blocca,1,verb
1985,ferma,1,verb
1986,chiede,2,verb
1987,critica,2,verb
1987,firmato,2,verb
1987,batte,2,verb
1987,proposta,2,verb
1987,comprare,2,verb
1987,scelto,2,verb
1988,compra,2,verb
1988,chiede,2,verb
1988,supera,2,verb
1989,piace,3,verb
1989,smentisce,3,verb
1989,vieta,2,verb
1990,passa,2,verb
1990,attesa,2,verb
1990,perde,2,verb
1990,entra,2,verb
1990,critica,2,verb
1990,rompera,1,verb
1991,cerca,1,verb
1991,smentisce,1,verb
1991,riparla,1,verb
1991,vende,1,verb
1991,riapre,1,verb
1992,decide,2,verb
1992,sale,2,verb
1992,battezzare,1,verb
1992,salva,1,verb
1992,esalta,1,verb
1993,vende,3,verb
1993,grande,2,verb
1993,caccia,2,verb
1993,replica,2,verb
1995,disse,3,verb
1996,rilancia,3,verb
1996,indagato,3,verb
1996,fatto,3,verb
1997,pensa,3,verb
1997,conferma,3,verb
1997,grande,3,verb
1997,dice,3,verb
1998,chiede,5,verb
1998,alza,4,verb
1999,rilancia,4,verb
1999,rilancio,4,verb
2000,votare,6,verb
2001,chiede,14,verb
2001,grande,8,verb
2002,scrive,10,verb
2004,dice,15,verb
2005,scrive,11,verb
2007,dice,8,verb
2012,ritorno,36,verb
2013,decadenza,149,verb
2019,ritorno,10,verb
2019,corsa,8,verb
2022,ritorno,23,verb
2023,ricoverato,22,verb
