,Year,Word,Frequency,Category
0,1984,rai,4,business
1,1984,guerra,2,person
2,1984,pubblicita,2,business
3,1984,impero,2,business
4,1984,espande,1,verb
5,1984,attività,1,business
6,1984,finanziaria,1,politics
7,1984,rizzoli,1,business
8,1984,scende,1,verb
9,1984,pista,1,other
10,1984,divorzio,1,personal
11,1984,affare,1,business
12,1984,miliardi,1,other
13,1984,ndrangheta,1,other
14,1984,voleva,1,verb
15,1984,rapire,1,verb
16,1984,fininvest,1,business
17,1984,aumenta,1,verb
18,1984,capitale,1,business
19,1984,firmato,1,verb
20,1984,trattato,1,politics
21,1984,pace,1,sentiment
22,1984,mondadori,1,business
23,1984,venti,1,other
24,1984,aprono,1,verb
25,1984,racconta,1,verb
26,1984,savoia,1,person
27,1984,vuol,1,verb
28,1984,entrare,1,
29,1984,forze,1,
30,1985,pubblicita,3,business
31,1985,rai,3,business
32,1985,francia,3,location
33,1985,legge,2,legal
34,1985,tv,2,other
35,1985,decreto,2,politics
36,1985,europa,2,location
37,1985,solo,2,sentiment
38,1985,piace,1,verb
39,1985,critica,1,verb
40,1985,raccogliere,1,verb
41,1985,respinto,1,verb
42,1985,ricorso,1,legal
43,1985,tribune,1,other
44,1985,politiche,1,politics
45,1985,meter,1,other
46,1985,convincerli,1,verb
47,1985,dc,1,politics
48,1985,blocca,1,verb
49,1985,camera,1,politics
50,1985,costituzionale,1,politics
51,1985,terzo,1,other
52,1985,fellini,1,person
53,1985,ferma,1,verb
54,1985,spot,1,business
55,1985,serve,1,location
56,1985,satellite,1,other
57,1985,inglesi,1,location
58,1985,caso,1,sentiment
59,1985,bettega,1,person
60,1986,milan,8,business
61,1986,tv,8,other
62,1986,rai,6,business
63,1986,presidente,4,other
64,1986,europea,4,location
65,1986,cinq,4,business
66,1986,accordo,4,politics
67,1986,francese,3,location
68,1986,miliardi,3,other
69,1986,prima,3,other
70,1986,milano,3,other
71,1986,agnelli,2,person
72,1986,diretta,2,other
73,1986,magistrato,2,legal
74,1986,diffida,2,sentiment
75,1986,rivera,2,location
76,1986,parigi,2,location
77,1986,subito,2,legal
78,1986,francia,2,location
79,1986,madrid,2,location
80,1986,chirac,2,person
81,1986,chiede,2,verb
82,1986,pci,2,politics
83,1986,parla,2,other
84,1986,pronto,2,politics
85,1986,craxi,2,person
86,1986,spot,2,business
87,1986,tanzi,2,person
88,1986,frena,1,person
89,1986,supervalutato,1,sentiment
90,1987,tv,15,other
91,1987,rai,8,business
92,1987,cinq,6,business
93,1987,diretta,5,other
94,1987,germania,4,location
95,1987,insieme,3,sentiment
96,1987,solo,3,sentiment
97,1987,giornale,3,other
98,1987,guerra,3,person
99,1987,rete,3,other
100,1987,critica,2,verb
101,1987,firmato,2,verb
102,1987,batte,2,verb
103,1987,reti,2,business
104,1987,chiama,2,person
105,1987,nuovo,2,other
106,1987,pci,2,politics
107,1987,proposta,2,verb
108,1987,star,2,sentiment
109,1987,agnes,2,person
110,1987,enrica,2,person
111,1987,film,2,other
112,1987,sfida,2,sentiment
113,1987,comprare,2,verb
114,1987,scelto,2,verb
115,1987,arriva,2,person
116,1987,crisi,2,sentiment
117,1987,spot,2,business
118,1987,tanzi,1,person
119,1987,gioco,1,sentiment
120,1988,standa,10,other
121,1988,rai,9,business
122,1988,tv,6,other
123,1988,tg,4,other
124,1988,agnes,3,person
125,1988,costanzo,3,person
126,1988,pubblicita,3,business
127,1988,agnelli,3,person
128,1988,guerra,2,person
129,1988,nessun,2,person
130,1988,incontro,2,person
131,1988,compra,2,verb
132,1988,film,2,other
133,1988,autunno,2,other
134,1988,piano,2,politics
135,1988,diretta,2,other
136,1988,europea,2,location
137,1988,calcio,2,business
138,1988,chiede,2,verb
139,1988,capitale,2,business
140,1988,piani,2,other
141,1988,decreto,2,politics
142,1988,spot,2,business
143,1988,supera,2,verb
144,1988,gianni,2,person
145,1988,classifica,2,other
146,1988,super,2,sentiment
147,1988,ricchi,2,other
148,1988,pippo,1,person
149,1988,scambio,1,other
150,1989,rai,9,business
151,1989,cinq,7,business
152,1989,tv,5,other
153,1989,hersant,4,business
154,1989,parigi,4,location
155,1989,rinascente,3,business
156,1989,piace,3,verb
157,1989,cecchi,3,person
158,1989,gori,3,person
159,1989,spot,3,business
160,1989,fininvest,3,business
161,1989,standa,3,other
162,1989,smentisce,3,verb
163,1989,giornalisti,2,other
164,1989,pubblicita,2,business
165,1989,felice,2,sentiment
166,1989,satellite,2,other
167,1989,amef,2,business
168,1989,nuovo,2,other
169,1989,alleato,2,sentiment
170,1989,bouygues,2,business
171,1989,dc,2,politics
172,1989,attacca,2,sentiment
173,1989,parretti,2,person
174,1989,cinema,2,other
175,1989,spagna,2,location
176,1989,punta,2,person
177,1989,governo,2,politics
178,1989,vieta,2,verb
179,1989,pci,2,politics
180,1990,cuccia,5,person
181,1990,tv,4,other
182,1990,mondadori,4,business
183,1990,arriva,3,person
184,1990,legge,3,legal
185,1990,accordo,3,politics
186,1990,amef,2,business
187,1990,passa,2,verb
188,1990,summit,2,politics
189,1990,attesa,2,verb
190,1990,benedetti,2,person
191,1990,cir,2,other
192,1990,perde,2,verb
193,1990,entra,2,verb
194,1990,rai,2,business
195,1990,critica,2,verb
196,1990,spagna,1,location
197,1990,rompera,1,verb
198,1990,partner,1,personal
199,1990,craxi,1,person
200,1990,febbre,1,other
201,1990,alta,1,other
202,1990,lungo,1,other
203,1990,ospedale,1,personal
204,1990,bloccato,1,sentiment
205,1990,roy,1,person
206,1990,ajax,1,business
207,1990,conquista,1,sentiment
208,1990,spagnola,1,location
209,1990,nuova,1,politics
210,1991,mondadori,4,business
211,1991,tv,4,other
212,1991,rai,3,business
213,1991,giornale,2,other
214,1991,standa,2,other
215,1991,benedetti,2,person
216,1991,hollywood,2,location
217,1991,concessioni,2,politics
218,1991,mammi,2,person
219,1991,pace,2,sentiment
220,1991,amef,2,business
221,1991,sara,2,person
222,1991,accordo,2,politics
223,1991,zeffirelli,2,person
224,1991,sacchi,2,person
225,1991,punta,2,person
226,1991,carnevale,2,other
227,1991,venezia,2,location
228,1991,cinq,2,business
229,1991,accuse,1,sentiment
230,1991,arbitro,1,other
231,1991,cerca,1,verb
232,1991,alibi,1,sentiment
233,1991,smentisce,1,verb
234,1991,riparla,1,verb
235,1991,spartizione,1,sentiment
236,1991,vende,1,verb
237,1991,ultimatum,1,sentiment
238,1991,vertice,1,business
239,1991,riapre,1,verb
240,1992,tv,10,other
241,1992,cinq,5,business
242,1992,re,4,sentiment
243,1992,channel,4,business
244,1992,esame,2,other
245,1992,leonardo,2,person
246,1992,segrate,2,location
247,1992,mgm,2,business
248,1992,accordo,2,politics
249,1992,stranieri,2,other
250,1992,inglese,2,location
251,1992,fronte,2,other
252,1992,mercato,2,other
253,1992,decide,2,verb
254,1992,regole,2,other
255,1992,punta,2,person
256,1992,sale,2,verb
257,1992,five,2,business
258,1992,editori,2,business
259,1992,vetrina,2,other
260,1992,paolo,2,person
261,1992,venezia,2,location
262,1992,guerra,2,person
263,1992,rai,2,business
264,1992,carnevale,2,other
265,1992,rinascente,2,business
266,1992,battezzare,1,verb
267,1992,salva,1,verb
268,1992,opzione,1,other
269,1992,esalta,1,verb
270,1993,tv,8,other
271,1993,rai,4,business
272,1993,paolo,3,person
