Word,Category
rai,business
guerra,person
pubblicita,business
impero,business
espande,verb
attività,business
finanziaria,politics
rizzoli,business
scende,verb
pista,other
divorzio,personal
affare,business
miliardi,other
ndrangheta,other
voleva,verb
rapire,verb
fininvest,business
aumenta,verb
capitale,business
firmato,verb
trattato,politics
pace,sentiment
fra,no
mondadori,business
venti,other
aprono,verb
racconta,verb
adesso,person
savoia,person
vuol,verb
francia,location
legge,legal
tv,other
decreto,politics
europa,location
solo,sentiment
piace,verb
critica,verb
raccogliere,verb
respinto,verb
ricorso,legal
tribune,other
politiche,politics
meter,other
convincerli,verb
dc,politics
blocca,verb
camera,politics
costituzionale,politics
terzo,other
fellini,person
ferma,verb
spot,business
serve,location
satellite,other
inglesi,location
caso,sentiment
bettega,person
milan,business
presidente,other
europea,location
cinq,business
accordo,politics
francese,location
prima,other
milano,other
agnelli,person
diretta,other
magistrato,legal
diffida,sentiment
rivera,location
parigi,location
subito,legal
madrid,location
chirac,person
chiede,verb
pci,politics
parla,other
pronto,politics
craxi,person
tanzi,person
frena,person
supervalutato,sentiment
germania,location
insieme,sentiment
giornale,other
rete,other
batte,verb
reti,business
chiama,person
nuovo,other
proposta,verb
star,sentiment
agnes,person
enrica,person
film,other
sfida,sentiment
comprare,verb
scelto,verb
arriva,person
crisi,sentiment
gioco,sentiment
standa,other
tg,other
costanzo,person
nessun,person
incontro,person
compra,verb
autunno,other
piano,politics
calcio,business
piani,other
supera,verb
gianni,person
classifica,other
super,sentiment
ricchi,other
pippo,person
scambio,other
hersant,business
rinascente,business
cecchi,person
gori,person
smentisce,verb
giornalisti,other
felice,sentiment
amef,business
alleato,sentiment
bouygues,business
attacca,sentiment
parretti,person
cinema,other
spagna,location
punta,person
governo,politics
vieta,verb
cuccia,person
passa,verb
summit,politics
attesa,verb
benedetti,person
cir,other
perde,verb
entra,verb
rompera,verb
partner,personal
febbre,other
alta,other
lungo,other
ospedale,personal
bloccato,sentiment
roy,person
ajax,business
conquista,sentiment
spagnola,location
nuova,politics
hollywood,location
concessioni,politics
mammi,person
sara,person
zeffirelli,person
sacchi,person
carnevale,other
venezia,location
accuse,sentiment
arbitro,other
cerca,verb
alibi,sentiment
riparla,verb
spartizione,sentiment
vende,verb
ultimatum,sentiment
vertice,business
riapre,verb
re,sentiment
channel,business
esame,other
leonardo,person
segrate,location
mgm,business
stranieri,other
inglese,location
fronte,other
mercato,other
decide,verb
regole,other
sale,verb
five,business
editori,business
vetrina,other
paolo,person
battezzare,verb
salva,verb
opzione,other
esalta,verb
piazza,other
editore,business
lega,politics
partito,sentiment
gs,business
guai,sentiment
ministro,person
affari,business
grande,verb
borsa,business
caccia,verb
consiglio,politics
giro,other
processo,legal
tangenti,legal
grazie,sentiment
replica,verb
politici,politics
uomo,other
bossi,person
fini,person
premier,politics
giudici,other
scalfaro,person
pietro,person
an,person
roma,other
pool,legal
miglio,other
gia,other
caro,sentiment
ultima,politics
basta,sentiment
parola,other
prodi,person
dini,person
polo,person
alema,person
patto,sentiment
voto,politics
me,other
rocco,person
pds,politics
ppi,politics
biagi,person
torna,sentiment
elezioni,politics
leader,sentiment
accusa,legal
disse,verb
addio,politics
massimo,person
tabarez,person
utri,person
costituente,politics
riforme,politics
mediaset,business
rilancia,verb
indagato,verb
ricatto,sentiment
fatto,verb
letta,business
dotti,other
giustizia,sentiment
bicamerale,politics
cossiga,person
attacco,person
pensa,verb
amico,sentiment
conferma,verb
mafia,legal
ferrara,person
centro,location
ppe,politics
dialogo,person
lite,sentiment
veltroni,politics
voti,politics
alza,verb
apre,politics
capello,other
referendum,person
quirinale,politics
iberian,business
elettorale,location
bonino,person
segni,other
ciampi,sentiment
giudizio,other
rilancio,verb
ds,politics
rutelli,person
amato,person
sinistra,politics
porta,politics
votare,verb
storace,person
mastella,person
comunisti,politics
sindaco,person
bush,person
genova,location
conflitto,sentiment
rosso,other
libro,other
incontra,person
ue,sentiment
fiat,politics
sindacati,politics
casini,person
alleati,politics
tasse,politics
scrive,verb
sme,politics
cofferati,person
esteri,person
iraq,location
pensioni,politics
putin,business
cena,politics
udc,politics
tagli,politics
riforma,sentiment
follini,person
verifica,other
ulivo,politics
dice,verb
sì,other
avanti,business
fazio,person
regionali,location
scontro,sentiment
formigoni,person
moratti,person
cdl,politics
duello,person
usa,politics
politica,politics
unipol,business
pm,legal
show,legal
interessi,sentiment
vita,other
pd,politics
alitalia,politics
walter,person
pdl,politics
intercettazioni,business
rifiuti,politics
napolitano,politics
stampa,other
obama,person
foto,other
repubblica,other
giornali,other
noemi,person
times,other
estera,politics
escort,politics
bersani,person
finiani,politics
fiducia,person
fli,politics
ruby,person
tremonti,person
donne,person
colle,politics
alfano,person
monti,person
manovra,politics
tarantini,person
primarie,politics
ritorno,verb
campo,other
soldi,politics
mills,person
grillo,other
decadenza,verb
rnews,politics
renzi,person
giunta,legal
imu,politics
senato,person
sentenza,politics
fi,politics
europee,location
italicum,politics
servizi,politics
sociali,politics
fitto,person
matteo,person
seedorf,person
barbara,location
inzaghi,person
salvini,person
bee,business
centrodestra,politics
verdini,person
candidato,legal
reptv,other
